dat_ref,age,income,credit_score,loan_amount,interest_rate,debt_to_income,employment_status,loan_purpose,home_ownership,prediction,prediction_score,target
2025-09-01,45.656605,27911.21,850.0,46497.59,15.823442,0.24965292,employed,personal,mortgage,0,0.31490424,0
2025-09-01,29.520191,138944.66,680.2303,31153.05,7.9233255,0.17050417,employed,personal,rent,0,0.3951073,0
2025-09-01,51.005413,122296.64,657.4839,16313.91,4.5232096,0.30737656,unemployed,personal,mortgage,0,0.053149797,0
2025-09-01,53.286777,48797.207,610.61584,25428.312,14.981807,0.48258743,employed,auto,own,0,0.649434,0
2025-09-01,18.587578,116838.93,672.1253,10738.713,10.655867,0.40773743,employed,personal,mortgage,0,0.35098803,0
2025-09-01,26.373846,39796.438,670.88495,31393.406,9.875716,0.18178573,self_employed,education,mortgage,0,0.2450845,0
2025-09-01,43.534084,53135.855,672.7272,22226.03,7.304168,0.3667521,self_employed,home,rent,1,0.7920269,1
2025-09-01,38.20509,72268.74,716.594,12166.448,14.244158,0.45181128,employed,personal,own,1,0.84752584,1
2025-09-01,41.798386,47457.734,627.2743,9911.001,7.599403,0.4138236,employed,business,mortgage,1,0.4626315,1
2025-09-01,31.763474,88953.11,602.1941,25466.78,9.104684,0.46366426,employed,home,mortgage,0,0.12961267,0
2025-09-01,52.552776,103848.06,649.5001,39352.28,7.5635767,0.19659357,employed,personal,mortgage,1,0.2748884,1
2025-09-01,51.333504,32257.592,612.51624,40422.277,15.0518875,0.17122233,employed,business,rent,1,0.70147026,1
2025-09-01,42.79237,75318.734,756.0766,15544.46,14.412078,0.19959189,employed,personal,rent,1,0.77382827,1
2025-09-01,55.526894,44272.754,694.89124,12378.148,7.652779,0.3592945,employed,auto,mortgage,0,0.07269913,0
2025-09-01,47.61011,79693.414,641.9621,26203.26,5.121522,0.14307804,employed,home,own,0,0.069649234,0
2025-09-01,31.68849,80348.98,779.53375,17332.756,4.57964,0.32814577,employed,personal,mortgage,0,0.4087097,0
2025-09-01,46.42501,54160.258,642.841,21867.312,14.158314,0.062721595,employed,personal,rent,1,0.11152855,1
2025-09-01,30.493408,67401.64,726.8783,27047.213,12.667056,0.44123092,employed,home,mortgage,0,0.4848982,0
2025-09-01,52.541405,74890.43,850.0,21305.86,8.2588415,0.5242126,employed,personal,own,0,0.5692253,0
2025-09-01,41.40089,52841.605,688.4737,1000.0,6.9557853,0.05,employed,personal,mortgage,1,0.92054504,1
2025-09-01,39.78165,25115.621,767.98517,25105.783,8.78768,0.37747917,employed,personal,mortgage,0,0.06732922,0
2025-09-01,33.828846,93721.01,633.8084,24913.217,13.053197,0.39428195,employed,auto,own,1,0.86350346,1
2025-09-01,56.670498,93515.11,692.2827,17650.729,8.344532,0.36209664,employed,business,mortgage,0,0.47470048,0
